entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll
460,69.9295625,59.10799609,50.31339453,35.33103516,2.1720738,0.13741799,-0.76011384,1.319915,2.751678,0.8102566,-0.7649943,-2.1366246,310.8511563,59.66696484,65.56169531,70.84334375,-1,-1,1,1,11,11,11,11,-0.2919178,-0.03401184,-0.004003525,-0.029130936,3.2591054,2.8944871,2.5154517,1.9892839,0,0.037486702,0.031426482,0,-0.019647887,0.005768383,-0.014096653,-0.017577127,77.34327144,269.760127,107.4761728,384.3700513
461,40.71232031,26.47707617,18.16391211,12.98031641,1.1355127,-0.73473936,0.324873,0.22954075,1.3361273,-0.89367324,-0.6791167,-0.50288135,69.90359375,33.95114453,19.13119531,13.32419922,-1,1,1,-1,11,11,13,13,-0.006195068,0.051822662,-0.12648773,0.048202515,1.7828084,0.18441619,6.155675,3.0078855,0,0,0.7095096,1.4106826,-0.012667729,-0.046377815,-0.021049896,-0.06634404,3.081298899,92.09769915,3.081298899,118.0353217
462,102.2825391,48.25396484,40.81370313,20.86427539,1.6019517,1.509817,2.0400312,0.6452145,-2.1099448,1.8019385,-1.6825128,1.7774881,264.104375,114.5272891,159.5994375,25.36018359,-1,1,-1,1,13,13,13,13,-0.052555084,4.96E-05,-0.024082184,0.07785416,0.57928693,2.5023024,1.1742524,1.1348871,0,0,0,0,0.001110384,-0.000713543,-0.00084362,0.002413712,72.5535006,130.3749059,72.5535006,205.8000336
463,103.8468203,38.30519531,28.42665234,7.268897949,-1.9440097,0.022275219,0.04947732,-0.9381973,1.1493734,1.2568661,0.010244302,2.955466,370.2055,38.31484375,28.46165039,10.71016406,1,-1,1,1,11,13,13,13,-0.45833206,119.68376,-26.93123,37.951965,1.7780957,230.53185,80.47457,3.6821072,0,0.04272543,0,0,0.008714646,0.011899103,-0.03899823,-0.15184957,30.0855209,38.53503037,51.88727679,216.3052052
464,75.90061719,23.58283789,15.42931934,10.55205078,-0.051256,-1.0444901,-0.6046993,0.28195542,-2.3883195,0.112866014,0.05946879,2.4401813,76.00034375,37.65967188,18.33758984,10.97427539,-1,1,-1,1,11,11,13,11,-0.097390056,-0.023275256,0.53091633,0.15997756,0.69214404,2.1000726,2.2202501,5.3818054,0,0.05206872,1.1754825,0.23394565,0.009786117,-0.03302004,-0.014170513,0.032751758,38.80712681,91.46746546,26.42097364,128.4487414
465,74.46624219,57.77741406,47.34539063,29.02767383,-1.7166579,-1.7290999,-2.0786781,-1.6397161,1.9291962,-2.1790047,-0.057150103,-0.4293788,213.9251719,167.93075,192.1984219,77.61625,-1,1,-1,1,11,13,13,11,0.028194427,-0.00071907,-0.09400749,-0.038173676,0.20936528,1.0679274,0.6016248,2.2857542,0,0,0,0,0.049897887,-0.000683574,-0.001671978,-0.008315273,86.02432416,93.13059173,86.02432416,210.604342
466,119.6966328,73.82364844,59.43032813,53.11929688,0.78587025,0.55035925,-0.18172772,0.5221017,-2.467269,0.05775108,1.2959588,-2.117522,158.6003594,85.28920313,60.41446484,60.52525,1,1,-1,-1,11,13,13,13,-0.057106495,0.07451916,0.046080112,-0.18534994,0.5361271,0.66392016,0.21427618,1.5351759,0,0,0,0,0.006762363,-0.005279946,-0.005430901,-0.007337915,91.47804472,110.9210401,181.6291916,318.5668178
467,52.876875,39.08692969,9.79021582,7.972821777,0.6314094,1.3861057,1.2558956,0.072893426,2.268462,0.11378916,1.2228085,2.8489702,63.77225391,83.04596094,18.58116211,7.994012695,-1,1,1,-1,13,13,13,11,-0.11801529,-0.14262772,47.42716,0.07780838,0.98525304,2.6326084,1.5511322,4.431724,0,0,0,0.17208326,-0.003954523,-0.001651056,0.15916723,0.050333142,26.92373404,87.44397454,16.95151303,105.7244004
468,30.02638867,23.224375,16.38410547,10.34548145,-0.35036677,0.47381952,-1.0208936,0.026818346,2.9458387,0.17693199,-0.8533422,-1.1977538,31.88829102,25.88050781,25.69005859,10.34974121,-1,1,-1,1,11,11,13,13,-0.0639838,-0.028375864,0.07574129,-0.00565362,1.8112195,1.0176344,0.3966471,0.41443947,0.04006335,0,0,0,0.008703009,0.02176306,0.1413115,-0.040410418,14.95592514,56.52218517,14.95592514,90.75896389
469,46.51701172,45.12271875,20.30324609,9.122038086,1.6781664,1.9307991,0.48129857,-1.8184209,2.8411078,-0.4499213,-0.8110764,2.4800284,128.9089766,158.8331406,22.70059961,28.8457168,-1,1,-1,1,13,13,11,11,0.043917656,0.12850666,-13.370201,-11.60077,2.0793607,2.111553,7.2000055,19.434422,0,0,0,0,0.005786032,0.009457745,0.33094606,0.008136855,47.24008264,92.1077467,47.24008264,222.9466741
